LVL,DATE,COUNTY_FIPS,POP_AT_HOME,POP_NOT_AT_HOME,NUM_OF_TRIPS
State,2019/01/02,,4621576.0,14860900.0,78534045.0
State,2019/01/02,,167058.0,712477.0,3155786.0
State,2019/01/03,,131853.0,492531.0,2126609.0
State,2019/01/03,,1535432.0,6956223.0,31308976.0
State,2019/01/03,,1400573.0,6111987.0,26438994.0
State,2019/01/03,,382916.0,1417394.0,6080235.0
State,2019/01/03,,1057005.0,4738795.0,21124703.0
State,2019/01/03,,133206.0,442764.0,2235198.0
State,2019/01/03,,1261412.0,5487906.0,23643310.0
State,2019/01/03,,869939.0,4198644.0,16707521.0
State,2019/01/03,,201914.0,852169.0,3697380.0
State,2019/01/03,,2539000.0,10228915.0,43819112.0
State,2019/01/03,,877120.0,3300781.0,14871791.0
State,2019/01/03,,788690.0,3142334.0,12470873.0
State,2019/01/03,,2273606.0,9380107.0,40762331.0
State,2019/01/03,,147037.0,610718.0,2740144.0
State,2019/01/03,,1835778.0,8516103.0,35172928.0
State,2019/01/03,,4714018.0,14768458.0,79078238.0
State,2019/01/03,,427565.0,1661458.0,8427315.0
State,2019/01/03,,1031386.0,4562645.0,20696247.0
State,2019/01/03,,1900580.0,8064783.0,35462356.0
State,2019/01/03,,1442723.0,5438330.0,28117808.0
State,2019/01/03,,1087025.0,4937225.0,22551951.0
State,2019/01/03,,286786.0,1047528.0,4096243.0
State,2019/01/03,,574408.0,2328193.0,11237463.0
State,2019/01/03,,611648.0,2534849.0,11728176.0
State,2019/01/03,,1272680.0,5398746.0,24318977.0
State,2019/01/03,,2618092.0,10084041.0,49848746.0
State,2019/01/03,,341649.0,1407198.0,5680654.0
State,2019/01/03,,282005.0,1134145.0,4846334.0
State,2019/01/03,,830424.0,4042510.0,15921478.0
State,2019/01/03,,171331.0,563851.0,2640115.0
State,2019/01/03,,1414677.0,5735049.0,23464046.0
State,2019/01/03,,516872.0,2487744.0,9688533.0
State,2019/01/03,,7726174.0,31709962.0,140219864.0
State,2019/01/03,,1788908.0,7092385.0,33608060.0
State,2019/01/03,,1227001.0,4451155.0,23102157.0
